date,symbol,bb_bandwidth
2026-08-08 00:00:00,EPL,0.0862
2026-08-08 00:00:00,EQUITASBNK,0.1388
2026-08-08 00:00:00,ERIS,0.1137
2026-08-08 00:00:00,ESCORTS,0.0976
2026-08-08 00:00:00,ETERNAL,0.1709
2026-08-08 00:00:00,ETHOSLTD,0.1793
2026-08-08 00:00:00,EUREKAFORB,0.0998
2026-08-08 00:00:00,EXIDEIND,0.1728
2026-08-08 00:00:00,FACT,0.069
2026-08-08 00:00:00,FEDERALBNK,0.1415
2026-08-08 00:00:00,FEDFINA,0.1095
2026-08-08 00:00:00,FIEMIND,0.1696
2026-08-08 00:00:00,FINCABLES,0.098
2026-08-08 00:00:00,FINPIPE,0.0596
2026-08-08 00:00:00,FIRSTCRY,0.0475
2026-08-08 00:00:00,FIVESTAR,0.0732
2026-08-08 00:00:00,FLUOROCHEM,0.2092
2026-08-08 00:00:00,FORCEMOT,0.1105
2026-08-08 00:00:00,FORTIS,0.0589
2026-08-08 00:00:00,FSL,0.3727
2026-08-08 00:00:00,GABRIEL,0.2509
2026-08-08 00:00:00,GAEL,0.3458
2026-08-08 00:00:00,GAIL,0.0569
2026-08-08 00:00:00,GALLANTT,0.3349
2026-08-08 00:00:00,GARFIBRES,0.1493
2026-08-08 00:00:00,GESHIP,0.0876
2026-08-08 00:00:00,GHCL,0.041
2026-08-08 00:00:00,GICRE,0.034
2026-08-08 00:00:00,GILLETTE,0.047
2026-08-08 00:00:00,GLAND,0.1106
2026-08-08 00:00:00,GLAXO,0.1157
2026-08-08 00:00:00,GLENMARK,0.0705
2026-08-08 00:00:00,GMDCLTD,0.0954
2026-08-08 00:00:00,GMMPFAUDLR,0.281
2026-08-08 00:00:00,GMRAIRPORT,0.1084
2026-08-08 00:00:00,GMRP&UI,0.058
2026-08-08 00:00:00,GNFC,0.1091
2026-08-08 00:00:00,GODFRYPHLP,0.1761
2026-08-08 00:00:00,GODIGIT,0.261
2026-08-08 00:00:00,GODREJAGRO,0.049
2026-08-08 00:00:00,GODREJCP,0.0347
2026-08-08 00:00:00,GODREJIND,0.0797
2026-08-08 00:00:00,GODREJPROP,0.0741
2026-08-08 00:00:00,GOKEX,0.0897
2026-08-08 00:00:00,GOKULAGRO,0.1436
2026-08-08 00:00:00,GPIL,0.0775
2026-08-08 00:00:00,GPPL,0.0472
2026-08-08 00:00:00,GRANULES,0.1186
2026-08-08 00:00:00,GRAPHITE,0.1959
2026-08-08 00:00:00,GRASIM,0.0844
2026-08-08 00:00:00,GRAVITA,0.1968
2026-08-08 00:00:00,GREAVESCOT,0.3453
2026-08-08 00:00:00,GRINDWELL,0.1586
2026-08-08 00:00:00,GRSE,0.0508
2026-08-08 00:00:00,GRWRHITECH,0.1011
2026-08-08 00:00:00,GSFC,0.0546
2026-08-08 00:00:00,GVT&D,0.1442
2026-08-08 00:00:00,HAL,0.1144
2026-08-08 00:00:00,HAPPSTMNDS,0.124
2026-08-08 00:00:00,HAVELLS,0.1371
2026-08-08 00:00:00,HBLENGINE,0.1075
2026-08-08 00:00:00,HCC,0.1532
2026-08-08 00:00:00,HCG,0.0582
2026-08-08 00:00:00,HCLTECH,0.2358
2026-08-08 00:00:00,HDBFS,0.1714
2026-08-08 00:00:00,HDFCAMC,0.1056
2026-08-08 00:00:00,HDFCBANK,0.1663
2026-08-08 00:00:00,HDFCLIFE,0.0723
2026-08-08 00:00:00,HEG,0.261
2026-08-08 00:00:00,HEMIPROP,0.0599
2026-08-08 00:00:00,HERITGFOOD,0.1124
2026-08-08 00:00:00,HEROMOTOCO,0.2391
2026-08-08 00:00:00,HEXT,0.1167
2026-08-08 00:00:00,HFCL,0.2225
2026-08-08 00:00:00,HGINFRA,0.0697
2026-08-08 00:00:00,HINDALCO,0.146
2026-08-08 00:00:00,HINDCOPPER,0.1592
2026-08-08 00:00:00,HINDPETRO,0.0651
2026-08-08 00:00:00,HINDUNILVR,0.0658
2026-08-08 00:00:00,HINDZINC,0.186
2026-08-08 00:00:00,HOMEFIRST,0.1175
2026-08-08 00:00:00,HONASA,0.0878
2026-08-08 00:00:00,HONAUT,0.0737
2026-08-08 00:00:00,HSCL,0.2019
2026-08-08 00:00:00,HUDCO,0.086
2026-08-08 00:00:00,HYUNDAI,0.2197
2026-08-08 00:00:00,ICICIBANK,0.0549
2026-08-08 00:00:00,ICICIGI,0.1501
2026-08-08 00:00:00,ICICIPRULI,0.0655
2026-08-08 00:00:00,ICIL,0.102
2026-08-08 00:00:00,IDBI,0.0455
2026-08-08 00:00:00,IDEA,0.1276
2026-08-08 00:00:00,IDFCFIRSTB,0.1258
2026-08-08 00:00:00,IEX,0.1512
2026-08-08 00:00:00,IFBIND,0.132
